Altium Designer Pick and Place Locations
C:\nonsystem\git\github\GD32E103\GD32E103\Project Outputs for GD32E103\Pick Place for GD32E103.txt

========================================================================================================================
File Design Information:

Date:       13/08/20
Time:       16:33
Revision:   061c0709fb5f05db3f434e23facf5da1e21f9229
Variant:    No variations
Units used: mil

Designator Comment              Layer       Footprint        Center-X(mil) Center-Y(mil) Rotation Description                   Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) 
R113       0R                   TopLayer    R0805            2612.000      481.000       90       ""                            2612.000   481.000    2612.000   445.000    
R112       2.2K                 TopLayer    R0402            2847.000      589.000       180      ""                            2847.000   589.000    2867.000   589.000    
R105       10K                  TopLayer    R0402            2719.000      590.000       180      ""                            2719.000   590.000    2739.000   590.000    
Q8         MMBT3904             TopLayer    SOT-23           2864.000      501.000       90       ""                            2864.000   501.000    2918.921   463.599    
Q7         AO3407               TopLayer    SOT-23           2716.000      486.000       180      ""                            2716.000   486.000    2753.401   540.921    
C73        2.2uF/16V            TopLayer    C0603            2700.000      1440.000      90       ""                            2700.000   1440.000   2700.000   1411.000   
C72        10uF/16V             TopLayer    C0805            1945.000      645.000       90       ""                            1945.000   645.000    1945.000   609.000    
R111       10K                  TopLayer    R0402            1200.000      1100.000      90       ""                            1200.000   1100.000   1200.000   1080.000   
R110       10K                  TopLayer    R0402            1245.000      1100.000      270      ""                            1245.000   1100.000   1245.000   1120.000   
R72        "10K 1%"             TopLayer    R0402            2500.000      1330.000      90       ""                            2500.000   1330.000   2500.000   1310.000   
R70        HLCMFA103J3500HAN    BottomLayer R0603            1915.000      1310.000      90       ""                            1915.000   1310.000   1915.000   1285.000   
R52        "4.7K 1%"            TopLayer    R0402            2380.000      1330.000      90       ""                            2380.000   1330.000   2380.000   1310.000   
R53        150R                 TopLayer    R0402            2505.000      495.000       90       ""                            2505.000   495.000    2505.000   475.000    
R51        150R                 TopLayer    R0402            2545.000      495.000       90       ""                            2545.000   495.000    2545.000   475.000    
R50        1K                   TopLayer    R0402            3750.000      90.000        360      ""                            3750.000   90.000     3730.000   90.000     
R43        2K                   TopLayer    R0402            3750.000      50.000        360      ""                            3750.000   50.000     3730.000   50.000     
D20        BAT20J               TopLayer    SOD-323          2435.000      560.000       270      ""                            2435.000   560.000    2435.000   605.709    
J4         "Molex 39-30-0040"   TopLayer    Molex_39-30-0040 1300.000      403.937       180      "Molex 39-30-0040"            1382.677   437.402    1382.677   441.339    
J3         NC                   TopLayer    Molex_39-30-0020 915.000       401.969       180      ""                            915.000    437.402    915.000    437.402    
J2         "Molex 39-30-0020"   TopLayer    Molex_39-30-0020 665.000       401.969       180      "Molex 39-30-0020"            665.000    437.402    665.000    437.402    
D23        ºìµÆ                   TopLayer    LED_0603         3935.000      95.000        360      ºìµÆled                         3935.000   95.000     3905.000   95.000     
D22        ÂÌµÆ                   TopLayer    LED_0603         3935.000      45.000        360      ÂÌµÆled                         3935.000   45.000     3905.000   45.000     
D21        BAT54WT              TopLayer    SOD-523/SC-79    3585.000      1815.000      360      ""                            3585.000   1815.000   3558.000   1815.000   
Q1         NCEP85T14            BottomLayer TO-220ABN        1194.781      1472.480      180      ""                            1194.781   1472.480   1294.781   1472.480   
R109       4.7K                 TopLayer    R0402            1730.000      875.000       270      ""                            1730.000   875.000    1730.000   895.000    
R108       4.7K                 TopLayer    R0402            1896.000      880.000       270      ""                            1896.000   880.000    1896.000   900.000    
R107       4.7K                 TopLayer    R0402            1851.000      880.000       270      ""                            1851.000   880.000    1851.000   900.000    
R106       4.7K                 TopLayer    R0402            1806.000      880.000       270      ""                            1806.000   880.000    1806.000   900.000    
R4         4.7K                 TopLayer    R0402            1904.000      1102.000      90       ""                            1904.000   1102.000   1904.000   1082.000   
R3         4.7K                 TopLayer    R0402            1685.000      875.000       270      ""                            1685.000   875.000    1685.000   895.000    
C4         100nF/16V            TopLayer    C0402            2420.000      1330.000      90       Capacitor                     2420.000   1330.000   2420.000   1310.000   
Y1         8MÎÞÔ´¾§Ìå               TopLayer    5032_4PIN        2875.000      1025.000      90       ""                            2875.000   1025.000   2920.276   950.197    
